county,ward_names,ballots_cast,brian_hagedorn,lisa_neubauer,scatter
JUNEAU,City of NEW LISBON Wards 1-7,197,119,78,0
JUNEAU,CITY OF WISCONSIN DELLS Ward 7,0,0,0,0
KENOSHA,Town of BRIGHTON Wards 1-4,352,251,101,0
KENOSHA,Town of PARIS Wards 1-2,570,362,207,1
KENOSHA,Town of RANDALL Wards 1-7,588,369,219,0
KENOSHA,Town of SOMERS Wards 1-2,185,117,68,0
KENOSHA,Town of WHEATLAND Wards 1-6,585,375,210,0
KENOSHA,"Village of BRISTOL Wards 1-3,8",741,491,249,1
KENOSHA,Village of BRISTOL Wards 4-7,536,330,204,2
KENOSHA,VILLAGE OF GENOA CITY Ward 5,0,0,0,0
KENOSHA,Village of PADDOCK LAKE Wards 1-6,535,333,200,2
KENOSHA,Village of PLEASANT PRAIRIE Wards 1-3,896,514,382,0
KENOSHA,Village of PLEASANT PRAIRIE Wards 4-5,418,243,174,1
KENOSHA,"Village of PLEASANT PRAIRIE Wards 6-7,12",793,412,381,0
KENOSHA,Village of PLEASANT PRAIRIE Wards 8-11,748,466,282,0
KENOSHA,Village of PLEASANT PRAIRIE Wards 13-14,592,351,241,0
KENOSHA,"Village of SALEM LAKES Wards 1-5,10",1204,768,435,1
KENOSHA,Village of SALEM LAKES Wards 6-9,637,395,241,1
KENOSHA,Village of SALEM LAKES Wards 11-13,319,202,117,0
KENOSHA,Village of SOMERS Wards 1-4,676,368,308,0
KENOSHA,"Village of SOMERS Wards 5-6,9-10",546,266,280,0
KENOSHA,Village of SOMERS Wards 7-8,221,110,111,0
KENOSHA,Village of SOMERS Wards 11-12,357,224,133,0
KENOSHA,Village of TWIN LAKES Wards 1-9,678,382,295,1
KENOSHA,City of KENOSHA Ward 1,120,52,68,0
KENOSHA,City of KENOSHA Ward 2,145,67,78,0
KENOSHA,City of KENOSHA Ward 3,16,5,11,0
KENOSHA,City of KENOSHA Ward 4,311,94,217,0
KENOSHA,City of KENOSHA Ward 5,115,30,85,0
KENOSHA,City of KENOSHA Ward 6,136,57,79,0
KENOSHA,City of KENOSHA Ward 7,58,12,46,0
KENOSHA,City of KENOSHA Ward 8,296,90,206,0
KENOSHA,City of KENOSHA Ward 9,89,36,53,0
KENOSHA,City of KENOSHA Ward 10,65,17,48,0
KENOSHA,City of KENOSHA Ward 11,103,34,69,0
KENOSHA,City of KENOSHA Ward 12,215,66,149,0
KENOSHA,City of KENOSHA Ward 13,293,122,171,0
KENOSHA,City of KENOSHA Ward 14,177,85,92,0
KENOSHA,City of KENOSHA Ward 15,300,123,177,0
KENOSHA,City of KENOSHA Ward 16,99,41,58,0
KENOSHA,City of KENOSHA Ward 17,48,17,31,0
KENOSHA,City of KENOSHA Ward 18,172,61,111,0
KENOSHA,City of KENOSHA Ward 19,76,25,51,0
KENOSHA,City of KENOSHA Ward 20,214,103,111,0
KENOSHA,City of KENOSHA Ward 21,108,56,52,0
KENOSHA,City of KENOSHA Ward 22,378,162,216,0
KENOSHA,City of KENOSHA Ward 23,136,48,88,0
KENOSHA,City of KENOSHA Ward 24,211,87,124,0
KENOSHA,City of KENOSHA Ward 25,215,79,136,0
KENOSHA,City of KENOSHA Ward 26,56,24,32,0
KENOSHA,City of KENOSHA Ward 27,84,27,57,0
KENOSHA,City of KENOSHA Ward 28,60,21,39,0
KENOSHA,City of KENOSHA Ward 29,73,28,45,0
KENOSHA,City of KENOSHA Ward 30,48,24,23,1
KENOSHA,City of KENOSHA Ward 31,143,55,88,0
KENOSHA,City of KENOSHA Ward 32,51,20,31,0
KENOSHA,City of KENOSHA Ward 33,3,0,3,0
KENOSHA,City of KENOSHA Ward 34,86,37,49,0
KENOSHA,City of KENOSHA Ward 35,215,96,118,1
KENOSHA,City of KENOSHA Ward 36,36,13,23,0
KENOSHA,City of KENOSHA Ward 37,183,75,108,0
KENOSHA,City of KENOSHA Ward 38,346,124,221,1
KENOSHA,City of KENOSHA Ward 39,171,83,88,0
KENOSHA,City of KENOSHA Ward 40,69,17,52,0
KENOSHA,City of KENOSHA Ward 41,80,37,43,0
KENOSHA,City of KENOSHA Ward 42,64,28,36,0
KENOSHA,City of KENOSHA Ward 43,216,105,111,0
KENOSHA,City of KENOSHA Ward 44,161,87,74,0
KENOSHA,City of KENOSHA Ward 45,86,31,55,0
KENOSHA,City of KENOSHA Ward 46,80,23,57,0
KENOSHA,City of KENOSHA Ward 47,46,23,23,0
KENOSHA,City of KENOSHA Ward 48,46,16,30,0
KENOSHA,City of KENOSHA Ward 49,58,29,29,0
KENOSHA,City of KENOSHA Ward 50,98,34,63,1
KENOSHA,City of KENOSHA Ward 51,88,32,56,0
KENOSHA,City of KENOSHA Ward 52,139,52,87,0
KENOSHA,City of KENOSHA Ward 53,77,41,36,0
KENOSHA,City of KENOSHA Ward 54,240,106,134,0
KENOSHA,City of KENOSHA Ward 55,98,39,59,0
KENOSHA,City of KENOSHA Ward 56,160,71,89,0
KENOSHA,City of KENOSHA Ward 57,241,102,139,0
KENOSHA,City of KENOSHA Ward 58,15,6,9,0
KENOSHA,City of KENOSHA Ward 59,289,136,153,0
KENOSHA,City of KENOSHA Ward 60,205,88,117,0
KENOSHA,City of KENOSHA Ward 61,101,48,53,0
KENOSHA,City of KENOSHA Ward 62,217,98,119,0
KENOSHA,City of KENOSHA Ward 63,136,61,75,0
KENOSHA,City of KENOSHA Ward 64,195,98,97,0
KENOSHA,City of KENOSHA Ward 65,6,2,4,0
KENOSHA,City of KENOSHA Ward 66,372,176,195,1
KENOSHA,City of KENOSHA Ward 67,219,88,131,0
KENOSHA,City of KENOSHA Ward 68,89,48,41,0
KENOSHA,City of KENOSHA Ward 69,19,8,11,0
KENOSHA,City of KENOSHA Ward 70,2,0,2,0
KENOSHA,City of KENOSHA Ward 71,80,24,56,0
KENOSHA,City of KENOSHA Ward 72,159,76,83,0
KENOSHA,City of KENOSHA Ward 73,139,70,68,1
KENOSHA,City of KENOSHA Ward 74,0,0,0,0
KENOSHA,City of KENOSHA Ward 75,171,101,70,0
KENOSHA,City of KENOSHA Ward 76,116,73,43,0
KENOSHA,City of KENOSHA Ward 77,213,100,113,0
KENOSHA,City of KENOSHA Ward 78,171,88,83,0
KENOSHA,City of KENOSHA Ward 79,178,100,78,0
KENOSHA,City of KENOSHA Ward 80,51,17,34,0
KENOSHA,City of KENOSHA Ward 81,83,36,47,0
KENOSHA,City of KENOSHA Ward 82,49,12,37,0
KENOSHA,City of KENOSHA Ward 83,0,0,0,0
KENOSHA,City of KENOSHA Ward 84,64,24,40,0
KENOSHA,City of KENOSHA Ward 85,15,5,10,0
KENOSHA,City of KENOSHA Ward 86,61,20,41,0
KENOSHA,City of KENOSHA Ward 87,164,85,79,0
KENOSHA,City of KENOSHA Ward 88,0,0,0,0
KENOSHA,City of KENOSHA Ward 89,0,0,0,0
KENOSHA,City of KENOSHA Ward 90,0,0,0,0
KENOSHA,City of KENOSHA Ward 91,0,0,0,0
KENOSHA,City of KENOSHA Ward 92,0,0,0,0
KENOSHA,City of KENOSHA Ward 93,0,0,0,0
KENOSHA,City of KENOSHA Ward 94,0,0,0,0
KENOSHA,City of KENOSHA Ward 95,0,0,0,0
KENOSHA,City of KENOSHA Ward 96,0,0,0,0
KENOSHA,City of KENOSHA Ward 97,0,0,0,0
KENOSHA,City of KENOSHA Ward 98,0,0,0,0
KENOSHA,City of KENOSHA Ward 99,0,0,0,0
KENOSHA,City of KENOSHA Ward 100,0,0,0,0
KENOSHA,City of KENOSHA Ward 101,0,0,0,0
KENOSHA,City of KENOSHA Ward 102,0,0,0,0
KENOSHA,City of KENOSHA Ward 103,0,0,0,0
KENOSHA,City of KENOSHA Ward 104,0,0,0,0
KEWAUNEE,Town of AHNAPEE Ward 1,184,101,83,0
KEWAUNEE,Town of CARLTON Wards 1-2,299,212,87,0
KEWAUNEE,Town of CASCO Wards 1-3,257,182,75,0
KEWAUNEE,Town of FRANKLIN Ward 1,219,139,80,0
KEWAUNEE,Town of LINCOLN Ward 1,321,195,126,0
KEWAUNEE,Town of LUXEMBURG Wards 1-3,344,253,91,0
KEWAUNEE,Town of MONTPELIER Wards 1-3,353,261,92,0
KEWAUNEE,Town of PIERCE Wards 1-2,221,127,94,0
KEWAUNEE,Town of RED RIVER Wards 1-3,315,204,111,0
KEWAUNEE,Town of WEST KEWAUNEE Wards 1-2,425,304,121,0
KEWAUNEE,Village of CASCO Ward 1,123,94,29,0
KEWAUNEE,Village of LUXEMBURG Wards 1-5,389,245,144,0
KEWAUNEE,City of ALGOMA Wards 1-6,553,229,324,0
KEWAUNEE,City of KEWAUNEE Wards 1-5,546,316,230,0
LA CROSSE,Town of BANGOR Ward 1,135,78,57,0
LA CROSSE,Town of BARRE Wards 1-2,461,286,175,0
LA CROSSE,Town of BURNS Ward 1,177,96,81,0
LA CROSSE,Town of CAMPBELL Wards 1-6,1063,446,617,0
LA CROSSE,Town of FARMINGTON Wards 1-2,431,194,237,0
LA CROSSE,Town of GREENFIELD Wards 1-2,510,249,261,0
LA CROSSE,Town of HAMILTON Wards 1-5,724,373,351,0
LA CROSSE,Town of HOLLAND Wards 1-6,865,431,434,0
LA CROSSE,Town of MEDARY Wards 1-2,405,186,219,0
LA CROSSE,Town of ONALASKA Wards 1-8,1128,558,570,0
LA CROSSE,Town of SHELBY Wards 1-6,1418,589,829,0
LA CROSSE,Town of WASHINGTON Ward 1,122,46,76,0
LA CROSSE,Village of BANGOR Wards 1-2,228,93,135,0
LA CROSSE,Village of HOLMEN Wards 1-12,1687,694,993,0
LA CROSSE,Village of ROCKLAND Ward 1,87,43,44,0
LA CROSSE,Village of WEST SALEM Wards 1-8,1436,638,798,0
LA CROSSE,City of LA CROSSE Ward 1,494,181,313,0
LA CROSSE,City of LA CROSSE Ward 2,127,40,87,0
LA CROSSE,City of LA CROSSE Ward 3,279,98,181,0
LA CROSSE,City of LA CROSSE Ward 4,103,29,74,0
LA CROSSE,City of LA CROSSE Ward 5,199,52,147,0
LA CROSSE,City of LA CROSSE Ward 6,296,62,234,0
LA CROSSE,City of LA CROSSE Ward 7,379,85,294,0
LA CROSSE,City of LA CROSSE Ward 8,437,125,312,0
LA CROSSE,City of LA CROSSE Ward 9,975,204,771,0
LA CROSSE,City of LA CROSSE Ward 10,88,16,72,0
LA CROSSE,City of LA CROSSE Ward 11,70,18,52,0
LA CROSSE,City of LA CROSSE Ward 12,167,26,141,0
LA CROSSE,City of LA CROSSE Ward 13,143,34,109,0
LA CROSSE,City of LA CROSSE Ward 14,145,42,103,0
LA CROSSE,City of LA CROSSE Ward 15,130,17,113,0
LA CROSSE,City of LA CROSSE Ward 16,294,98,196,0
LA CROSSE,City of LA CROSSE Ward 17,91,20,71,0
LA CROSSE,City of LA CROSSE Ward 18,142,39,103,0
LA CROSSE,City of LA CROSSE Ward 19,149,36,113,0
LA CROSSE,City of LA CROSSE Ward 20,303,70,233,0
LA CROSSE,City of LA CROSSE Ward 21,797,236,561,0
LA CROSSE,City of LA CROSSE Ward 22,397,110,287,0
LA CROSSE,City of LA CROSSE Ward 23,153,42,111,0
LA CROSSE,City of LA CROSSE Ward 24,400,126,274,0
LA CROSSE,City of LA CROSSE Ward 25,281,97,184,0
LA CROSSE,City of LA CROSSE Ward 26,448,151,297,0
LA CROSSE,City of LA CROSSE Ward 27,249,85,164,0
LA CROSSE,City of LA CROSSE Ward 28,219,74,145,0
LA CROSSE,City of LA CROSSE Ward 29,569,203,366,0
LA CROSSE,City of LA CROSSE Ward 30,0,0,0,0
LA CROSSE,City of LA CROSSE Ward 31,0,0,0,0
LA CROSSE,City of LA CROSSE Ward 32,0,0,0,0
LA CROSSE,City of LA CROSSE Ward 33,0,0,0,0
LA CROSSE,City of LA CROSSE Ward 34,0,0,0,0
LA CROSSE,City of LA CROSSE Ward 35,1,0,1,0
LA CROSSE,City of ONALASKA Wards 1-4,1128,482,646,0
LA CROSSE,City of ONALASKA Wards 5-8,962,391,571,0
LA CROSSE,City of ONALASKA Wards 9-12,1241,596,645,0
LAFAYETTE,Town of ARGYLE Wards 1-3,104,54,50,0
LAFAYETTE,Town of BELMONT Wards 1-2,164,80,84,0
LAFAYETTE,Town of BENTON Wards 1-2,80,52,28,0
LAFAYETTE,Town of BLANCHARD Ward 1,95,39,56,0
LAFAYETTE,Town of DARLINGTON Wards 1-3,149,85,64,0
LAFAYETTE,Town of ELK GROVE Wards 1-2,94,66,28,0
LAFAYETTE,Town of FAYETTE Wards 1-2,85,57,28,0
LAFAYETTE,Town of GRATIOT Ward 1,103,73,30,0
LAFAYETTE,Town of KENDALL Ward 1,166,99,67,0
LAFAYETTE,Town of LAMONT Wards 1-2,68,35,33,0
LAFAYETTE,Town of MONTICELLO Ward 1,40,26,14,0
LAFAYETTE,Town of NEW DIGGINGS Ward 1,67,38,29,0
LAFAYETTE,Town of SEYMOUR Wards 1-2,71,49,22,0
LAFAYETTE,Town of SHULLSBURG Ward 1,71,33,38,0
LAFAYETTE,Town of WAYNE Ward 1,86,59,27,0
LAFAYETTE,Town of WHITE OAK SPRINGS Ward 1,31,20,11,0
LAFAYETTE,Town of WILLOW SPRINGS Ward 1,147,85,62,0
LAFAYETTE,Town of WIOTA Ward 1,173,86,87,0
LAFAYETTE,Village of ARGYLE Ward 1,112,35,77,0
LAFAYETTE,Village of BELMONT Ward 1,269,136,133,0
LAFAYETTE,Village of BENTON Ward 1,150,41,109,0
LAFAYETTE,Village of BLANCHARDVILLE Ward 1,178,39,139,0
LAFAYETTE,Village of GRATIOT Ward 1,71,31,40,0
LAFAYETTE,VILLAGE OF HAZEL GREEN Ward 3,3,3,0,0
LAFAYETTE,Village of SOUTH WAYNE Ward 1,61,28,33,0
LAFAYETTE,CITY OF CUBA CITY Ward 5,20,3,17,0
LAFAYETTE,City of DARLINGTON Wards 1-6,385,150,235,0
LAFAYETTE,"City of SHULLSBURG Wards 1,3",167,56,111,0
LAFAYETTE,City of SHULLSBURG Ward 2,121,35,86,0
LANGLADE,Town of ACKLEY Ward 1,106,72,34,0
LANGLADE,Town of AINSWORTH Ward 1,136,87,49,0
LANGLADE,Town of ANTIGO Wards 1-2,284,214,70,0
LANGLADE,Town of ELCHO Wards 1-2,438,259,179,0
LANGLADE,Town of EVERGREEN Ward 1,99,74,25,0
LANGLADE,Town of LANGLADE Wards 1-2,106,75,31,0
LANGLADE,Town of NEVA Ward 1,168,112,56,0
LANGLADE,Town of NORWOOD Ward 1,209,148,61,0
LANGLADE,Town of PARRISH Ward 1,22,12,10,0
LANGLADE,Town of PECK Ward 1,122,88,34,0
LANGLADE,Town of POLAR Wards 1-2,240,179,61,0
LANGLADE,Town of PRICE Wards 1-2,48,32,16,0
LANGLADE,Town of ROLLING Wards 1-2,261,182,79,0
LANGLADE,Town of SUMMIT Ward 1,48,32,16,0
LANGLADE,Town of UPHAM Ward 1,183,121,62,0
LANGLADE,Town of VILAS Ward 1,46,43,3,0
LANGLADE,Town of WOLF RIVER Wards 1-2,187,120,67,0
LANGLADE,Village of WHITE LAKE Ward 1,58,36,22,0
LANGLADE,City of ANTIGO Ward 1,91,56,35,0
LANGLADE,City of ANTIGO Ward 2,131,81,50,0
LANGLADE,City of ANTIGO Ward 3,100,56,44,0
LANGLADE,City of ANTIGO Ward 4,135,60,75,0
LANGLADE,City of ANTIGO Ward 5,77,41,36,0
LANGLADE,City of ANTIGO Ward 6,103,64,39,0
LANGLADE,City of ANTIGO Ward 7,179,101,78,0
LANGLADE,City of ANTIGO Ward 8,100,60,40,0
LANGLADE,City of ANTIGO Ward 9,149,88,61,0
LINCOLN,Town of BIRCH Ward 1,92,52,40,0
LINCOLN,Town of BRADLEY Wards 1-5,483,281,202,0
LINCOLN,Town of CORNING Wards 1-2,157,115,42,0
LINCOLN,Town of HARDING Ward 1,99,66,33,0
LINCOLN,Town of HARRISON Wards 1-3,215,131,84,0
LINCOLN,Town of KING Wards 1-2,250,121,129,0
LINCOLN,Town of MERRILL Wards 1-7,609,371,238,0
LINCOLN,Town of PINE RIVER Wards 1-3,429,274,155,0
LINCOLN,Town of ROCK FALLS Wards 1-2,172,127,45,0
LINCOLN,Town of RUSSELL Ward 1,115,67,48,0
LINCOLN,Town of SCHLEY Wards 1-2,179,126,53,0
LINCOLN,Town of SCOTT Wards 1-2,351,224,127,0
LINCOLN,Town of SKANAWAN Ward 1,154,83,71,0
LINCOLN,Town of SOMO Ward 1,42,28,14,0
LINCOLN,Town of TOMAHAWK Ward 1,112,71,41,0
LINCOLN,Town of WILSON Ward 1,131,82,49,0
LINCOLN,City of MERRILL Wards 1-2,227,125,102,0
LINCOLN,City of MERRILL Wards 3-4,195,117,78,0
LINCOLN,City of MERRILL Wards 5-7,142,77,65,0
LINCOLN,City of MERRILL Wards 8-9,148,82,66,0
LINCOLN,City of MERRILL Wards 10-12,167,80,87,0
LINCOLN,City of MERRILL Wards 13-14,141,66,75,0
LINCOLN,City of MERRILL Wards 15-17,226,98,127,1
LINCOLN,City of MERRILL Wards 18-19,142,94,48,0
LINCOLN,City of TOMAHAWK Wards 1-2,136,49,87,0
LINCOLN,City of TOMAHAWK Wards 3-4,170,95,75,0
LINCOLN,City of TOMAHAWK Wards 5-6,173,98,75,0
MANITOWOC,Town of CATO Wards 1-2,439,319,120,0
MANITOWOC,Town of CENTERVILLE Ward 1,166,113,53,0
MANITOWOC,Town of COOPERSTOWN Wards 1-2,326,225,101,0
MANITOWOC,Town of EATON Ward 1,195,136,59,0
MANITOWOC,Town of FRANKLIN Wards 1-3,293,214,79,0
MANITOWOC,Town of GIBSON Wards 1-2,343,227,116,0
MANITOWOC,Town of KOSSUTH Wards 1-3,443,287,156,0
MANITOWOC,Town of LIBERTY Wards 1-2,409,296,112,1
MANITOWOC,Town of MANITOWOC Wards 1-2,252,164,88,0
MANITOWOC,Town of MANITOWOC RAPIDS Wards 1-5,670,455,215,0
MANITOWOC,Town of MAPLE GROVE Ward 1,200,148,52,0
MANITOWOC,Town of MEEME Wards 1-4,394,282,111,1
MANITOWOC,Town of MISHICOT Wards 1-2,252,179,73,0
MANITOWOC,Town of NEWTON Wards 1-3,718,518,200,0
MANITOWOC,Town of ROCKLAND Wards 1-2,218,163,55,0
MANITOWOC,Town of SCHLESWIG Wards 1-2,499,349,150,0
MANITOWOC,Town of TWO CREEKS Ward 1,147,106,41,0
MANITOWOC,Town of TWO RIVERS Wards 1-2,406,255,151,0
MANITOWOC,Village of CLEVELAND Wards 1-2,360,224,136,0
MANITOWOC,Village of FRANCIS CREEK Ward 1,138,89,49,0
MANITOWOC,Village of KELLNERSVILLE Ward 1,65,42,21,2
MANITOWOC,Village of MARIBEL Ward 1,57,41,16,0
MANITOWOC,Village of MISHICOT Wards 1-4,303,188,115,0
MANITOWOC,Village of REEDSVILLE Wards 1-3,350,227,122,1
MANITOWOC,Village of ST. NAZIANZ Ward 1,114,81,33,0
MANITOWOC,Village of VALDERS Ward 1,211,142,69,0
MANITOWOC,Village of WHITELAW Ward 1,158,105,53,0
MANITOWOC,"City of KIEL Wards 1-6,8-9",719,444,274,1
MANITOWOC,City of MANITOWOC Wards 1-2,452,245,206,1
MANITOWOC,"City of MANITOWOC Wards 3-4,22",585,331,254,0
MANITOWOC,City of MANITOWOC Wards 5-6,545,255,289,1
MANITOWOC,City of MANITOWOC Wards 7-8,207,124,83,0
MANITOWOC,"City of MANITOWOC Wards 9-10,29",508,315,193,0
MANITOWOC,City of MANITOWOC Wards 11-12,656,349,307,0
MANITOWOC,City of MANITOWOC Wards 13-14,425,220,205,0
MANITOWOC,City of MANITOWOC Wards 15-16,778,438,340,0
MANITOWOC,"City of MANITOWOC Wards 17-18,21,23-26,28",433,257,176,0
MANITOWOC,"City of MANITOWOC Wards 19-20,27",1001,620,381,0
MANITOWOC,City of TWO RIVERS Wards 1-2,436,234,202,0
MANITOWOC,City of TWO RIVERS Wards 3-4,651,377,274,0
MANITOWOC,City of TWO RIVERS Wards 5-6,414,232,181,1
MANITOWOC,City of TWO RIVERS Wards 7-8,324,176,148,0
MARATHON,Town of BERGEN Ward 1,160,96,64,0
MARATHON,Town of BERLIN Wards 1-2,270,199,71,0
MARATHON,Town of BERN Ward 1,88,57,31,0
MARATHON,Town of BEVENT Wards 1-2,354,198,156,0
MARATHON,Town of BRIGHTON Ward 1,145,115,30,0
MARATHON,Town of CASSEL Ward 1,164,118,46,0
MARATHON,Town of CLEVELAND Wards 1-2,344,232,112,0
MARATHON,Town of DAY Wards 1-2,267,195,72,0
MARATHON,Town of EASTON Wards 1-2,267,190,77,0
MARATHON,Town of EAU PLEINE Ward 1,201,132,69,0
MARATHON,Town of ELDERON Ward 1,141,95,46,0
MARATHON,Town of EMMET Wards 1-2,306,199,107,0
MARATHON,Town of FRANKFORT Ward 1,111,77,34,0
MARATHON,Town of FRANZEN Ward 1,177,122,55,0
MARATHON,Town of GREEN VALLEY Ward 1,136,82,54,0
MARATHON,Town of GUENTHER Ward 1,91,67,24,0
MARATHON,Town of HALSEY Ward 1,129,93,36,0
MARATHON,Town of HAMBURG Ward 1,206,141,65,0
MARATHON,Town of HARRISON Ward 1,60,41,19,0
MARATHON,Town of HEWITT Ward 1,114,83,31,0
MARATHON,Town of HOLTON Ward 1,222,155,67,0
MARATHON,Town of HULL Ward 1,116,82,34,0
MARATHON,Town of JOHNSON Ward 1,131,91,40,0
MARATHON,Town of KNOWLTON Wards 1-3,467,296,171,0
MARATHON,Town of MARATHON Wards 1-2,246,185,59,2
MARATHON,Town of MCMILLAN Wards 1-3,656,389,267,0
MARATHON,Town of MOSINEE Wards 1-3,453,296,157,0
MARATHON,Town of NORRIE Ward 1,284,186,98,0
MARATHON,Town of PLOVER Ward 1,172,118,53,1
MARATHON,Town of REID Wards 1-2,373,231,141,1
MARATHON,Town of RIB FALLS Ward 1,274,217,56,1
MARATHON,Town of RIB MOUNTAIN Wards 1-10,1808,1134,674,0
MARATHON,Town of RIETBROCK Ward 1,196,132,64,0
MARATHON,Town of RINGLE Wards 1-2,426,268,158,0
MARATHON,Town of SPENCER Wards 1-2,486,310,175,1
MARATHON,Town of STETTIN Wards 1-5,616,405,211,0
MARATHON,Town of TEXAS Wards 1-2,442,271,171,0
MARATHON,Town of WAUSAU Wards 1-3,602,401,200,1
MARATHON,Town of WESTON Ward 1,147,103,44,0
MARATHON,Town of WIEN Ward 1,192,125,66,1
MARATHON,Village of ATHENS Wards 1-2,247,141,106,0
MARATHON,VILLAGE OF BIRNAMWOOD Ward 2,4,1,3,0
MARATHON,VILLAGE OF DORCHESTER Wards 2-3,0,0,0,0
MARATHON,Village of EDGAR Wards 1-2,276,158,118,0
MARATHON,Village of ELDERON Ward 1,27,18,9,0
MARATHON,Village of FENWOOD Ward 1,38,23,15,0
MARATHON,Village of HATLEY Ward 1,118,83,35,0
MARATHON,Village of KRONENWETTER Wards 1-5,658,372,285,1
MARATHON,Village of KRONENWETTER Wards 6-10,660,418,242,0
MARATHON,Village of Maine Wards 1-4,624,390,233,1
MARATHON,Village of MARATHON CITY Wards 1-4,464,299,165,0
MARATHON,Village of ROTHSCHILD Wards 1-3,453,247,206,0
MARATHON,Village of ROTHSCHILD Wards 4-6,595,324,271,0
MARATHON,Village of SPENCER Wards 1-3,554,312,241,1
MARATHON,Village of STRATFORD Wards 1-2,328,223,104,1
MARATHON,Village of UNITY Ward 1,40,28,12,0
MARATHON,"Village of WESTON Wards 1-2,4-5",710,440,270,0
MARATHON,"Village of WESTON Wards 3,8",491,263,228,0
MARATHON,Village of WESTON Wards 6-7,476,283,193,0
MARATHON,Village of WESTON Wards 9-13,884,531,353,0
MARATHON,"CITY OF ABBOTSFORD Wards 1,6",48,30,18,0
MARATHON,CITY OF COLBY Ward 1,92,46,46,0
MARATHON,"CITY OF MARSHFIELD Wards 12,20-21,24",135,74,61,0
MARATHON,"City of MOSINEE Wards 1-2,6-7",382,236,146,0
MARATHON,City of MOSINEE Wards 3-5,429,264,165,0
MARATHON,City of SCHOFIELD Wards 1-4,389,225,164,0
MARATHON,City of WAUSAU Ward 1,456,177,279,0
MARATHON,City of WAUSAU Ward 2,477,179,296,2
MARATHON,City of WAUSAU Ward 3,119,56,63,0
MARATHON,City of WAUSAU Ward 4,70,35,35,0
MARATHON,City of WAUSAU Ward 5,254,117,137,0
MARATHON,City of WAUSAU Ward 6,169,70,99,0
MARATHON,City of WAUSAU Ward 7,218,87,131,0
MARATHON,City of WAUSAU Ward 8,106,54,52,0
MARATHON,City of WAUSAU Ward 9,99,43,56,0
MARATHON,City of WAUSAU Ward 10,53,27,26,0
MARATHON,City of WAUSAU Ward 11,0,0,0,0
MARATHON,City of WAUSAU Ward 12,344,129,214,1
MARATHON,City of WAUSAU Ward 13,237,112,125,0
MARATHON,City of WAUSAU Ward 14,276,131,145,0
MARATHON,City of WAUSAU Ward 15,553,274,278,1
MARATHON,City of WAUSAU Ward 16,398,217,180,1
MARATHON,City of WAUSAU Ward 17,304,153,151,0
MARATHON,City of WAUSAU Ward 18,313,158,155,0
MARATHON,City of WAUSAU Ward 19,252,127,125,0
MARATHON,City of WAUSAU Ward 20,217,106,111,0
MARATHON,City of WAUSAU Ward 21,182,82,100,0
MARATHON,City of WAUSAU Ward 22,200,112,88,0
MARATHON,City of WAUSAU Ward 23,254,118,136,0
MARATHON,City of WAUSAU Ward 24,422,250,172,0
MARATHON,City of WAUSAU Ward 25,331,165,166,0
MARATHON,City of WAUSAU Ward 26,303,146,157,0
MARATHON,City of WAUSAU Ward 27,0,0,0,0
MARATHON,City of WAUSAU Ward 28,0,0,0,0
MARATHON,City of WAUSAU Ward 29,0,0,0,0
MARATHON,City of WAUSAU Ward 30,2,2,0,0
MARATHON,City of WAUSAU Ward 31,0,0,0,0
MARATHON,City of WAUSAU Ward 32,0,0,0,0
MARATHON,City of WAUSAU Ward 33,0,0,0,0
MARATHON,City of WAUSAU Ward 34,0,0,0,0
MARATHON,City of WAUSAU Ward 35,0,0,0,0
MARATHON,City of WAUSAU Ward 36,0,0,0,0
MARATHON,City of WAUSAU Ward 37,0,0,0,0
MARATHON,City of WAUSAU Ward 48,0,0,0,0
MARATHON,City of WAUSAU Ward 49,0,0,0,0
MARINETTE,Town of AMBERG Ward 1,219,143,76,0
MARINETTE,Town of ATHELSTANE Wards 1-2,181,115,66,0
MARINETTE,Town of BEAVER Wards 1-2,221,164,57,0
MARINETTE,Town of BEECHER Ward 1,207,144,63,0
MARINETTE,Town of DUNBAR Wards 1-2,174,129,45,0
MARINETTE,Town of GOODMAN Ward 1,303,179,124,0
MARINETTE,Town of GROVER Wards 1-3,271,208,63,0
MARINETTE,Town of LAKE Wards 1-2,265,180,85,0
MARINETTE,Town of MIDDLE INLET Wards 1-2,212,129,83,0
MARINETTE,Town of NIAGARA Ward 1,183,112,71,0
MARINETTE,Town of PEMBINE Wards 1-2,238,165,73,0
MARINETTE,"Town of PESHTIGO Wards 1,4",381,235,146,0
MARINETTE,Town of PESHTIGO Wards 2-3,385,228,157,0
MARINETTE,Town of PESHTIGO Wards 5-6,270,177,93,0
MARINETTE,Town of PORTERFIELD Wards 1-3,359,226,133,0
MARINETTE,Town of POUND Wards 1-3,311,230,81,0
MARINETTE,Town of SILVER CLIFF Ward 1,230,154,76,0
MARINETTE,Town of STEPHENSON Wards 1-3,448,287,161,0
MARINETTE,Town of STEPHENSON Wards 4-5,296,199,97,0
MARINETTE,Town of WAGNER Ward 1,269,177,92,0
MARINETTE,Town of WAUSAUKEE Wards 1-2,273,179,94,0
MARINETTE,Village of COLEMAN Ward 1,146,101,45,0
MARINETTE,Village of CRIVITZ Ward 1,225,144,81,0
MARINETTE,Village of POUND Ward 1,55,47,8,0
MARINETTE,Village of WAUSAUKEE Ward 1,96,58,38,0
